CRASH_YEAR,CRASH_MONTH,BEAT_OF_OCCURRENCE,avg_age,avg_speed_limit,total_crashes,sum_injuries_total,sum_injuries_fatal,sum_injuries_incapacitating,sum_injuries_non_incapacitating,sum_injuries_reported_not_evident,sum_weather_category_clear,sum_weather_category_cloudy,sum_weather_category_rain,sum_weather_category_extreme,sum_weather_category_unknown,sum_lighting_category_daylight,sum_lighting_category_daylight.1,sum_lighting_category_night,sum_lighting_category_night.1,sum_lighting_category_unknown,sum_lighting_category_unknown.1,sum_roadway_surface_category_dry,sum_roadway_surface_category_wet,sum_roadway_surface_category_snow,sum_roadway_surface_category_ice,sum_roadway_surface_category_unknown,sum_road_defect_category_no_defects,sum_road_defect_category_bad,sum_road_defect_category_defect,sum_road_defect_category_debris,sum_road_defect_category_unknown,sum_damage_category_high,sum_damage_category_low,sum_damage_category_medium,sum_gender_unknown,sum_gender_female,sum_gender_male,sum_category_motorcycle,sum_category_off-road/specialized,sum_category_passenger vehicle,sum_category_public transport,sum_category_truck/commercial
2017,1,733.0,45.166666666666664,27.77777777777778,9,3.0,0.0,1.0,2.0,0.0,5,2,0,1,1,4,4,5,5,0,0,3,1,0,5,0,9,0,0,0,0,7,1,1,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0
2017,1,734.0,46.55,29.5,10,4.0,0.0,1.0,3.0,0.0,6,2,1,0,1,4,4,6,6,0,0,5,2,0,2,1,9,1,0,0,0,7,1,2,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0
2017,1,735.0,43.411764705882355,28.823529411764707,17,4.0,0.0,0.0,3.0,1.0,13,0,3,1,0,9,9,8,8,0,0,12,3,0,2,0,15,0,0,0,2,11,4,2,0.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0
2017,1,811.0,41.13095238095239,28.571428571428573,14,0.0,0.0,0.0,0.0,0.0,13,0,0,1,0,6,6,8,8,0,0,12,1,0,1,0,13,0,0,0,1,9,1,4,0.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0
2017,1,812.0,40.128205128205124,26.923076923076923,13,1.0,0.0,0.0,1.0,0.0,7,0,3,1,2,5,5,6,6,2,2,6,4,0,1,2,9,0,0,0,4,7,0,6,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0
2017,1,813.0,38.25,28.375,40,0.0,0.0,0.0,0.0,0.0,29,1,7,0,3,19,19,20,20,1,1,24,12,1,0,3,33,0,0,0,7,22,3,15,0.0,0.0,0.0,1.0,0.0,66.0,0.0,1.0
2017,1,814.0,42.404761904761905,30.238095238095237,21,1.0,0.0,0.0,0.0,1.0,14,1,4,2,0,8,8,13,13,0,0,11,10,0,0,0,18,0,0,0,3,13,2,6,0.0,0.0,0.0,0.0,0.0,36.0,0.0,4.0
2017,1,815.0,41.064516129032256,28.548387096774192,31,2.0,0.0,2.0,0.0,0.0,22,0,6,2,1,19,19,11,11,1,1,22,6,1,0,2,26,0,0,0,5,16,2,13,0.0,0.0,0.0,0.0,0.0,51.0,0.0,3.0
2017,1,821.0,39.41666666666667,27.75,20,0.0,0.0,0.0,0.0,0.0,16,2,1,1,0,11,11,9,9,0,0,17,2,0,1,0,19,0,0,0,1,12,1,7,0.0,0.0,0.0,0.0,0.0,34.0,0.0,1.0
2017,1,822.0,34.05172413793103,28.103448275862068,29,1.0,0.0,0.0,0.0,1.0,21,2,5,1,0,16,16,13,13,0,0,19,8,1,1,0,26,0,0,0,3,14,3,12,0.0,0.0,0.0,0.0,0.0,48.0,0.0,2.0
2017,1,823.0,43.95,25.0,20,0.0,0.0,0.0,0.0,0.0,17,0,2,1,0,13,13,7,7,0,0,15,3,1,1,0,15,0,0,0,5,6,3,11,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0
2017,1,824.0,39.30555555555556,28.055555555555557,18,0.0,0.0,0.0,0.0,0.0,12,1,5,0,0,13,13,5,5,0,0,10,8,0,0,0,13,0,0,0,5,8,2,8,0.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0
2017,1,825.0,40.214285714285715,26.428571428571427,7,0.0,0.0,0.0,0.0,0.0,6,1,0,0,0,3,3,4,4,0,0,5,1,1,0,0,5,0,1,1,0,6,0,1,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
