score,min_samples,eps,n_clusters
0.17751871612852035,27,0.1,1
0.17734897507400854,28,0.16999999999999998,2
0.17708349180026475,27,0.16999999999999998,2
0.17620417188194817,33,0.17999999999999997,3
0.17607805727452508,26,0.16999999999999998,2
0.17487850611174063,17,0.14999999999999997,2
0.17451988432032772,21,0.15999999999999998,2
0.17433586783383087,20,0.15999999999999998,2
0.17413498209727257,22,0.15999999999999998,2
0.1736733893702953,11,0.13,2
0.17358887266539327,28,0.1,1
0.1732490523862173,18,0.14999999999999997,2
0.17298424784324906,19,0.14999999999999997,2
0.17287623059776222,14,0.11,2
0.17267751721119462,14,0.13999999999999999,2
0.17234211378596095,16,0.14999999999999997,3
0.17210301510671017,23,0.16999999999999998,3
0.1719674723928618,19,0.15999999999999998,2
0.1719462416821062,35,0.17999999999999997,2
0.1718784388909853,25,0.16999999999999998,3
0.17173606319363924,39,0.17999999999999997,2
0.17151180349082867,36,0.17999999999999997,2
0.1708299701881114,29,0.1,1
0.1707303761560731,24,0.16999999999999998,3
0.1699633845654627,15,0.14999999999999997,3
0.16961098368081157,37,0.17999999999999997,2
0.1685855922180814,37,0.16999999999999998,2
0.1685154100513699,36,0.16999999999999998,2
0.1685101450281708,12,0.13,2
0.1682914483465315,35,0.16999999999999998,2
0.16824916623887462,34,0.16999999999999998,2
0.16819185673743883,33,0.16999999999999998,2
0.168133552357622,13,0.13999999999999999,3
0.1680415626200168,34,0.17999999999999997,3
0.16801573805922695,29,0.16999999999999998,2
