Features,K,Score
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'road_defect_crash_rate', 'avg_responsibility_score')",2,0.2410839868566541
"('avg_weather_severity', 'fatality_rate', 'damage_cost_LB', 'speeding_influence', 'weekend_crash_rate')",6,0.24103316106212203
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'speeding_influence', 'night_crash_rate')",6,0.2409323810194955
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'speeding_influence', 'weekend_crash_rate')",7,0.24092174249817236
"('avg_weather_severity', 'fatality_rate', 'weekend_crash_rate', 'road_defect_crash_rate', 'avg_responsibility_score')",2,0.2408099209492693
"('avg_weather_severity', 'fatality_rate', 'speeding_influence', 'weekend_crash_rate', 'road_defect_crash_rate')",6,0.24080285079706998
"('avg_weather_severity', 'fatality_rate', 'damage_cost_LB', 'speeding_influence', 'night_crash_rate')",4,0.24047039297474954
"('fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'weekend_crash_rate', 'road_defect_crash_rate')",4,0.24041189529505255
"('fatality_rate', 'severe_injury_rate', 'speeding_influence', 'road_defect_crash_rate', 'night_crash_rate')",5,0.24026113089142395
"('avg_age', 'fatality_rate', 'severe_injury_rate', 'speeding_influence', 'road_defect_crash_rate')",6,0.24022160216776642
"('avg_age', 'avg_weather_severity', 'fatality_rate', 'road_defect_crash_rate', 'avg_responsibility_score')",2,0.2402201982833471
"('fatality_rate', 'severe_injury_rate', 'speeding_influence', 'road_defect_crash_rate', 'night_crash_rate')",9,0.24021331692414535
"('avg_age', 'avg_weather_severity', 'fatality_rate', 'weekend_crash_rate', 'night_crash_rate')",3,0.24017713498657858
"('avg_weather_severity', 'fatality_rate', 'damage_cost_LB', 'road_defect_crash_rate', 'night_crash_rate')",7,0.2399979292824379
"('avg_age', 'avg_weather_severity', 'fatality_rate', 'damage_cost_LB', 'road_defect_crash_rate')",4,0.23999274821826624
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'weekend_crash_rate', 'road_defect_crash_rate')",4,0.2396558639980956
"('avg_weather_severity', 'fatality_rate', 'damage_cost_LB', 'night_crash_rate', 'avg_responsibility_score')",2,0.23964312179206915
"('fatality_rate', 'damage_cost_LB', 'speeding_influence', 'road_defect_crash_rate', 'avg_responsibility_score')",6,0.23943795776057683
"('avg_age', 'avg_weather_severity', 'fatality_rate', 'night_crash_rate', 'avg_responsibility_score')",2,0.23931412905308133
"('avg_weather_severity', 'fatality_rate', 'damage_cost_LB', 'weekend_crash_rate', 'road_defect_crash_rate')",8,0.23921089700872877
"('avg_age', 'fatality_rate', 'severe_injury_rate', 'speeding_influence', 'avg_responsibility_score')",4,0.23911721363813687
"('fatality_rate', 'damage_cost_LB', 'speeding_influence', 'road_defect_crash_rate', 'avg_responsibility_score')",7,0.2390969927177184
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'speeding_influence', 'road_defect_crash_rate')",3,0.2388715397017578
"('avg_age', 'severe_injury_rate', 'damage_cost_LB', 'speeding_influence', 'road_defect_crash_rate')",2,0.23876641413159896
"('avg_weather_severity', 'fatality_rate', 'weekend_crash_rate', 'road_defect_crash_rate', 'night_crash_rate')",2,0.23876449601389807
"('fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'weekend_crash_rate', 'road_defect_crash_rate')",7,0.23871382964049967
"('fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'road_defect_crash_rate', 'night_crash_rate')",9,0.23870294601944356
"('avg_weather_severity', 'fatality_rate', 'severe_injury_rate', 'damage_cost_LB', 'avg_responsibility_score')",7,0.2382891365285758
