CRASH_YEAR,CRASH_MONTH,BEAT_OF_OCCURRENCE,avg_age,avg_speed_limit,total_crashes,sum_injuries_total,sum_injuries_fatal,sum_injuries_incapacitating,sum_injuries_non_incapacitating,sum_injuries_reported_not_evident,sum_weather_category_clear,sum_weather_category_cloudy,sum_weather_category_rain,sum_weather_category_extreme,sum_weather_category_unknown,sum_lighting_category_daylight,sum_lighting_category_night,sum_lighting_category_unknown,sum_roadway_surface_category_dry,sum_roadway_surface_category_wet,sum_roadway_surface_category_snow,sum_roadway_surface_category_ice,sum_roadway_surface_category_unknown,sum_road_defect_category_no_defects,sum_road_defect_category_bad,sum_road_defect_category_defect,sum_road_defect_category_debris,sum_road_defect_category_unknown,sum_damage_category_high,sum_damage_category_low,sum_damage_category_medium,sum_gender_unknown,sum_gender_female,sum_gender_male,sum_category_motorcycle,sum_category_off-road/specialized,sum_category_passenger vehicle,sum_category_public transport,sum_category_truck/commercial
2017,1,414.0,43.3125,29.166666666666668,12,2.0,0.0,0.0,0.0,2.0,10,0,0,1,1,5,6,1,7,1,1,1,2,8,0,1,1,2,6,3,3,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2017,1,421.0,31.083333333333332,27.692307692307693,13,0.0,0.0,0.0,0.0,0.0,8,1,2,1,1,8,4,1,9,4,0,0,0,13,0,0,0,0,6,1,6,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0
2017,1,422.0,40.0,30.0,3,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,1,2,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2017,1,423.0,43.95,30.0,11,0.0,0.0,0.0,0.0,0.0,6,0,2,3,0,7,3,1,6,3,1,1,0,10,1,0,0,0,7,0,4,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
2017,1,424.0,61.1,30.0,7,0.0,0.0,0.0,0.0,0.0,6,0,1,0,0,4,3,0,3,2,0,1,1,5,0,0,0,2,3,1,3,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0
2017,1,431.0,44.14705882352941,26.818181818181817,22,0.0,0.0,0.0,0.0,0.0,18,0,1,2,1,12,10,0,18,4,0,0,0,20,2,0,0,0,8,3,11,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0
2017,1,432.0,45.55555555555555,30.625,8,0.0,0.0,0.0,0.0,0.0,8,0,0,0,0,4,3,1,8,0,0,0,0,5,2,0,0,1,3,2,3,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
2017,1,433.0,33.625,30.0,9,1.0,0.0,0.0,1.0,0.0,6,0,1,0,2,2,6,1,7,2,0,0,0,7,0,0,0,2,6,0,3,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
2017,1,434.0,44.857142857142854,28.333333333333332,9,0.0,0.0,0.0,0.0,0.0,8,0,1,0,0,4,5,0,6,2,0,1,0,4,2,0,0,3,5,2,2,0.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0
2017,1,511.0,42.11363636363637,27.962962962962962,27,4.0,0.0,0.0,1.0,3.0,20,0,5,1,1,17,10,0,12,7,0,6,2,20,0,1,0,6,16,3,8,0.0,0.0,0.0,1.0,0.0,40.0,0.0,2.0
2017,1,512.0,49.25,26.875,8,0.0,0.0,0.0,0.0,0.0,5,1,1,0,1,3,5,0,6,1,0,0,1,6,0,0,0,2,4,1,3,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
